,ID,유형,분류,발신처,발송시간,내용,0,1,2,3,4
0,205933,기타,안전안내,영등포구청,2023-10-07 21:40,세계불꽃축제 귀가 인파로 인하여 여의도 주변 모든 지하철역이 혼잡하니 안전에 유의하여 서두르지 마시고 천천히 이용바랍니다.,서울특별시 영등포구,,,,
1,205932,기타,안전안내,동작구청,2023-10-07 20:44,노량진 수산시장 불꽃놀이 관람 시민들께서는 나가는 통로가 매우 협소하오니 서두르지 마시고 천천히 퇴장바랍니다.,서울특별시 동작구,,,,
2,205931,기타,안전안내,동작구청,2023-10-07 20:37,"노량진 수산시장, 용양봉저정, 효사정 인근 불꽃놀이 관람 시민들께서는 나가는 통로가 협소하오니 서두르지 마시고 천천히 퇴장바랍니다.",서울특별시 동작구,,,,
3,205930,기타,안전안내,동작구청,2023-10-07 20:36,"노량진 수산시장, 용양봉저정, 효사정 인근 불꽃축제 관람 인파로 혼잡 예상, 차량 우회 바랍니다.",서울특별시 동작구,,,,
4,205929,교통통제,안전안내,용산구청,2023-10-07 20:28,"서울세계불꽃축제 종료후 귀가 시 안전에 유의하여주시기 바라며, 이촌한강공원, 한강대교, 원효대교는 매우 혼잡하므로 우회하여 주시기 바랍니다.",서울특별시 용산구,,,,
5,205928,기타,안전안내,경기북부경찰청,2023-10-07 19:52,"고양시에서 실종된 정혜덕씨(남, 82세)를 찾습니다 -167cm, 짧은백발머리, 노랑잠바(체크남방), 검정바지 vo.la/KF559 / ☎182",경기도 고양시 덕양구 , 경기도 고양시 일산동구 , 경기도 고양시 일산서구,,
6,205927,기타,안전안내,전남경찰청,2023-10-07 19:45,"경찰은 강진군에서 실종된 이갑임씨(여, 82세)를 찾습니다 -150cm, 50kg, 착의불상, 신발은 장화 착용 vo.la/hx4rn / ☎182",전라남도 강진군,,,,
7,205926,기타,안전안내,동작구청,2023-10-07 19:39,용양봉저정 및 효사정 공원 불꽃놀이 관람인원 출입을 통제중입니다. 관람예정이신 분들은 우회바랍니다.,서울특별시 동작구,,,,
8,205925,기타,안전안내,동작구청,2023-10-07 19:36,용양봉저정 및 효사 인근 불꽃놀이 관람객들께서는 장소가 협소하니 관람시 안전에 유의하여 관람해 주시고 현장 통제인원의 통제에 따라주시기 바랍니다.,서울특별시 동작구,,,,
9,205924,교통통제,안전안내,용산구청,2023-10-07 19:29,"세계불꽃축제 관람객 급증으로 원효대교 북단, 현대자동차 주변 육교가 매우 혼잡합니다. 안전을 위해 해당 지역 접근을 자제하여주시기 바랍니다.",서울특별시 용산구,,,,
